"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"476","Thou Shalt Not",2002,"Musical",179459,8
"477","Topdog / Underdog",2002,"Play",5405007,144
"478","Urinetown",2002,"Musical",15521900,413
"479","42Nd Street '01",2003,"Musical",32375308,403
"480","A Day In The Death Of Joe Egg",2003,"Play",2874477,69
"481","A Year With Frog And Toad",2003,"Musical",1736421,73
"482","Aida",2003,"Musical",31924296,411
"483","Anna In The Tropics",2003,"Play",1733363,49
"484","As Long As We Both Shall Laugh",2003,"Special",330477,15
"485","Avenue Q",2003,"Musical",7843233,172
"486","Beauty And The Beast",2003,"Musical",28521297,409
"487","Big River '03",2003,"Musical",2802669,67
"488","Bill Maher: Victory Begins At Home",2003,"Special",533861,16
"489","Bobbi Boland",2003,"Play",100389,0
"490","Cabaret 98",2003,"Musical",17714044,415
"491","Cat On A Hot Tin Roof 03",2003,"Play",5502620,65
"492","Chicago",2003,"Musical",29771333,409
"493","Dance Of The Vampires",2003,"Musical",1882790,31
"494","Def Poetry Jam",2003,"Play",2166209,144
"495","Dinner At Eight",2003,"Play",1352405,32
"496","Enchanted April",2003,"Play",3492109,143
"497","Flower Drum Song",2003,"Musical",3605890,84
"498","Frankie And Johnny In The Claire De Lune",2003,"Play",1653318,78
"499","Golda'S Balcony",2003,"Play",2806258,81
"500","Gypsy '03",2003,"Musical",27089822,275
"501","Hairspray",2003,"Musical",50367887,411
"502","Henry Iv",2003,"Play",3267454,38
"503","Hollywood Arms",2003,"Play",98924,8
"504","I Am My Own Wife",2003,"Play",864503,29
"505","Imaginary Friends",2003,"Play",1517421,56
"506","Jackie Mason'S Laughing Room Only",2003,"Musical",1015629,14
"507","La Bohème",2003,"Musical",17305573,203
"508","Les Miserables",2003,"Musical",13461360,156
"509","Life X 3",2003,"Play",4570880,104
"510","Little Shop Of Horrors",2003,"Musical",7867318,100
"511","Long Day'S Journey Into Night 03",2003,"Play",11333178,117
"512","Ma Rainey'S Black Bottom '03",2003,"Play",2427214,68
"513","Mamma Mia!",2003,"Musical",48709860,411
"514","Man Of La Mancha 02",2003,"Musical",18397006,275
"515","Master Harold…And The Boys",2003,"Play",2276295,49
"516","Medea 02",2003,"Play",1927316,58
"517","Metamorphoses",2003,"Play",1383966,56
"518","Movin' Out",2003,"Musical",33529490,410
"519","Never Gonna Dance",2003,"Musical",3782752,28
"520","Nine",2003,"Musical",24448759,283
"521","Oklahoma!",2003,"Musical",3315894,64
"522","Oldest Living Confederate Widow Tells All",2003,"Play",225202,1
"523","Our Town 02",2003,"Play",1683080,31
"524","Proof",2003,"Play",291473,9
"525","Rent",2003,"Musical",16914006,409
"526","Salome",2003,"Play",3702428,40
"527","Say Goodnight, Gracie",2003,"Play",3798201,272
"528","Sexaholix '03",2003,"Play",990923,28
"529","Six Dance Lessons In Six Weeks",2003,"Play",716751,30
"530","Taboo",2003,"Musical",2926266,52
"531","Take Me Out",2003,"Play",10624793,346
"532","Tartuffe 03",2003,"Play",1933051,53
"533","The Boy From Oz",2003,"Musical",11909874,84
"534","The Caretaker 03",2003,"Play",1904710,55
"535","The Graduate",2003,"Play",2111386,72
"536","The Lion King",2003,"Musical",55655709,411
"537","The Look Of Love",2003,"Musical",2344600,49
"538","The Phantom Of The Opera",2003,"Musical",28605766,410
"539","The Play What I Wrote",2003,"Play",2530951,89
"540","The Producers",2003,"Musical",47193851,411
"541","The Retreat From Moscow",2003,"Play",2987522,75
"542","The Violet Hour",2003,"Play",2037981,54
"543","Thoroughly Modern Millie",2003,"Musical",32691225,411
"544","Urban Cowboy",2003,"Musical",1288667,60
"545","Urinetown",2003,"Musical",13302671,411
"546","Vincent In Brixton",2003,"Play",1915989,69
"547","Wicked",2003,"Musical",11101464,68
